Cidade,UF,IndiceConcorrenciaFraca,TotalResultados,Sociais,Diretorios,Marketplaces,SitesProprios
"Araxá","MG",28.6,7,2,0,0,5
"Assis","SP",22.2,9,2,0,0,7
"Ourinhos","SP",22.2,9,1,1,0,7
"Santana de Parnaíba","SP",0.0,9,0,0,0,9
"Araruama","RJ",11.1,9,0,1,0,8
"Campo Mourão","PR",25.0,8,2,0,0,6
"Várzea Paulista","SP",0.0,9,0,0,0,9
"Trindade","GO",33.3,9,2,1,0,6
"Conselheiro Lafaiete","MG",33.3,9,2,1,0,6
"Votuporanga","SP",10.0,10,1,0,0,9
"Pará de Minas","MG",12.5,8,1,0,0,7
"Campo Largo","PR",0.0,9,0,0,0,9
"Muriaé","MG",33.3,6,1,1,0,4
"Leme","SP",11.1,9,1,0,0,8
"Jataí","GO",22.2,9,2,0,0,7
"Itatiba","SP",11.1,9,1,0,0,8
"Ituiutaba","MG",33.3,9,1,2,0,6
"Itaúna","MG",12.5,8,1,0,0,7
"Itapecerica da Serra","SP",0.0,9,0,0,0,9
"Lavras","MG",33.3,9,2,1,0,6
"Angra dos Reis","RJ",44.4,9,3,1,0,5
"Paranavaí","PR",0.0,9,0,0,0,9
"Itaperuna","RJ",11.1,9,1,0,0,8
"Ribeirão Pires","SP",0.0,9,0,0,0,9
"São João del Rei","MG",11.1,9,1,0,0,8
