Cidade,UF,IndiceConcorrenciaFraca,TotalResultados,Sociais,Diretorios,Marketplaces,SitesProprios
"Pato Branco","PR",50.0,8,3,1,0,4
"Patrocínio","MG",22.2,9,2,0,0,7
"Atibaia","SP",11.1,9,1,0,0,8
"Manhuaçu","MG",22.2,9,1,1,0,7
"Teófilo Otoni","MG",55.6,9,2,3,0,4
"Planaltina","GO",11.1,9,0,0,1,8
"Ubá","MG",44.4,9,2,2,0,5
"Sabará","MG",0.0,9,0,0,0,9
"Coronel Fabriciano","MG",11.1,9,1,0,0,8
"Teixeira de Freitas","BA",33.3,9,1,2,0,6
"São João da Boa Vista","SP",12.5,8,1,0,0,7
"São Pedro da Aldeia","RJ",22.2,9,1,1,0,7
"Caieiras","SP",11.1,9,0,1,0,8
"Mogi Mirim","SP",11.1,9,1,0,0,8
"Francisco Beltrão","PR",37.5,8,3,0,0,5
"Nova Serrana","MG",25.0,8,2,0,0,6
"Aracruz","ES",22.2,9,2,0,0,7
"João Monlevade","MG",12.5,8,1,0,0,7
"Lorena","SP",0.0,9,0,0,0,9
"Alvorada","RS",20.0,10,2,0,0,8
"Barra do Piraí","RJ",11.1,9,1,0,0,8
"Avaré","SP",25.0,8,1,1,0,6
"Caçapava","SP",0.0,9,0,0,0,9
"Timóteo","MG",44.4,9,4,0,0,5
"Matão","SP",0.0,9,0,0,0,9
