Cidade,UF,IndiceConcorrenciaFraca,TotalResultados,Sociais,Diretorios,Marketplaces,SitesProprios
"Umuarama","PR",50.0,8,2,2,0,4
"Cachoeirinha","RS",10.0,10,1,0,0,9
"Paranaguá","PR",22.2,9,2,0,0,7
"Barretos","SP",11.1,9,1,0,0,8
"Francisco Morato","SP",0.0,9,0,0,0,9
"Valinhos","SP",11.1,9,1,0,0,8
"Catanduva","SP",22.2,9,2,0,0,7
"Paulínia","SP",0.0,9,0,0,0,9
"Vespasiano","MG",11.1,9,1,0,0,8
"Guaratinguetá","SP",22.2,9,1,1,0,7
"Birigui","SP",22.2,9,2,0,0,7
"Cambé","PR",0.0,9,0,0,0,9
"Jandira","SP",11.1,9,1,0,0,8
"Uruguaiana","RS",37.5,8,2,1,0,5
"Piraquara","PR",11.1,9,1,0,0,8
"Colatina","ES",22.2,9,1,1,0,7
"Caraguatatuba","SP",0.0,9,0,0,0,9
"Arapongas","PR",22.2,9,2,0,0,7
"Tatuí","SP",33.3,9,2,1,0,6
"Passos","MG",37.5,8,1,2,0,5
"Ilhéus","BA",40.0,10,3,1,0,6
"Poá","SP",0.0,9,0,0,0,9
"Formosa","GO",11.1,9,1,0,0,8
"Itumbiara","GO",12.5,8,1,0,0,7
"Itabira","MG",50.0,8,2,2,0,4
